no,who,Newbie,Age,Gender,Household Income,Sexual Preference,Country,Education Attainment,Major Occupation,Marital Status,Years on Internet
5157,id87903,0,36.0,Female,Over $100,Heterosexual,Washington D.C.,Masters,Computer,Married,1-3 yr
5158,id73773,1,39.0,Male,$10-19,Heterosexual,Kentucky,Some College,Education,Married,Under 6 mo
5159,id73407,0,32.0,Male,$50-74,Heterosexual,California,Some College,Professional,Married,1-3 yr
5160,id71572,1,26.0,Male,$50-74,Heterosexual,Tennessee,Some College,Professional,Single,Under 6 mo
5161,id76520,0,40.0,Male,$40-49,Heterosexual,California,College,Management,Single,4-6 yr
5162,id60957,0,41.0,Male,$50-74,Heterosexual,Arizona,Some College,Other,Married,4-6 yr
5163,id79133,0,31.0,Male,$40-49,Heterosexual,Texas,Some College,Computer,Single,Over 7 yr
5164,id79136,1,47.0,Male,,Heterosexual,United Kingdom,Special,Computer,Married,6-12 mo
5165,id79138,0,21.0,Male,Under $10,Heterosexual,California,Some College,Education,Single,1-3 yr
5166,id79900,0,34.0,Male,Over $100,Heterosexual,California,College,Professional,Married,4-6 yr
5167,id79985,0,20.0,Male,Under $10,Heterosexual,Uruguay,High School,Computer,Single,1-3 yr
5168,id72183,0,27.0,Female,$50-74,Lesbian,Virginia,Masters,Computer,Single,Over 7 yr
5169,id89262,0,31.0,Male,$20-29,Heterosexual,Texas,College,Professional,Single,1-3 yr
5170,id81336,0,34.0,Male,$30-39,Heterosexual,Texas,College,Professional,Single,1-3 yr
5171,id82058,0,26.0,Male,,Heterosexual,Indiana,College,Computer,,4-6 yr
5172,id87481,0,33.0,Male,Under $10,Heterosexual,Georgia,Some College,Education,Single,1-3 yr
5173,id79540,1,20.0,Female,Under $10,Heterosexual,Indiana,Some College,Education,Single,6-12 mo
5174,id87908,0,48.0,Male,$30-39,Heterosexual,Minnesota,Special,Other,Divorced,4-6 yr
5175,id88802,0,60.0,Male,$30-39,Heterosexual,Pennsylvania,Some College,Other,Divorced,4-6 yr
5176,id77202,1,17.0,Female,,Heterosexual,Texas,Grammar,Education,Single,Under 6 mo
5177,id81478,0,30.0,Male,$40-49,Heterosexual,Virginia,College,Computer,Single,1-3 yr
5178,id87872,0,20.0,Male,$20-29,Heterosexual,Japan,Some College,Education,Single,4-6 yr
5179,id84586,0,26.0,Male,,Heterosexual,California,College,Computer,Married,1-3 yr
5180,id85469,0,42.0,Female,$75-99,Heterosexual,Virginia,Masters,Professional,Married,1-3 yr
5181,id73472,0,30.0,Male,$40-49,Heterosexual,Pennsylvania,Some College,Other,Married,1-3 yr
5182,id75282,0,54.0,Male,$20-29,Heterosexual,New Zealand,Special,Computer,Married,Over 7 yr
5183,id76681,0,45.0,Female,$50-74,Heterosexual,Pennsylvania,College,Professional,Married,1-3 yr
5184,id88044,0,31.0,Male,,,Japan,College,Computer,Single,1-3 yr
5185,id88437,1,30.0,Male,$75-99,,Wisconsin,Special,Other,Single,Under 6 mo
5186,id86321,0,31.0,Male,$20-29,Heterosexual,Massachusetts,Doctoral,Education,Married,1-3 yr
5187,id88043,1,26.0,Male,Under $10,Bisexual,Australia,College,Other,Separated,6-12 mo
5188,id71753,0,43.0,Male,$20-29,Heterosexual,Louisiana,Other,Education,Married,4-6 yr
5189,id75821,0,47.0,Male,,Heterosexual,Florida,College,Computer,Married,4-6 yr
5190,id88806,0,41.0,Male,$50-74,Heterosexual,New York,Special,Computer,Other,1-3 yr
5191,id90139,1,43.0,Female,$30-39,Heterosexual,Michigan,College,Other,Married,6-12 mo
5192,id81768,0,38.0,Male,$50-74,Bisexual,Texas,Some College,Computer,Single,Over 7 yr
5193,id77292,1,36.0,Male,$50-74,Heterosexual,Australia,College,Education,Married,Under 6 mo
5194,id80091,0,25.0,Male,$50-74,Heterosexual,Florida,College,Professional,Other,4-6 yr
5195,id77747,0,31.0,Male,$40-49,Heterosexual,Texas,Some College,Computer,Married,4-6 yr
5196,id80072,0,29.0,Male,$40-49,Heterosexual,Pennsylvania,Masters,Education,Single,Over 7 yr
5197,id83660,0,28.0,Male,$10-19,Heterosexual,Finland,High School,Computer,Other,Over 7 yr
5198,id84944,0,28.0,Male,$50-74,Heterosexual,Texas,College,Computer,Married,Over 7 yr
5199,id85696,0,46.0,Male,$50-74,Heterosexual,Missouri,High School,Other,Married,1-3 yr
5200,id87080,0,35.0,Female,$30-39,Heterosexual,Hawaii,Masters,Computer,Married,1-3 yr
5201,id74639,0,43.0,Male,$75-99,Heterosexual,California,College,Computer,Single,1-3 yr
5202,id81375,1,57.0,Female,$30-39,Heterosexual,California,Some College,Other,Married,6-12 mo
5203,id80759,1,26.0,Male,$10-19,Heterosexual,Netherlands,College,Computer,Single,6-12 mo
5204,id75344,0,34.0,Male,$75-99,Heterosexual,California,College,Computer,Married,Over 7 yr
5205,id79271,0,32.0,Male,$50-74,Heterosexual,Germany,Masters,Computer,Married,1-3 yr
5206,id82072,0,,Male,,Heterosexual,Pennsylvania,College,Education,,4-6 yr
5207,id84554,0,18.0,Male,$50-74,Heterosexual,Australia,High School,Education,Single,1-3 yr
5208,id87925,1,23.0,Male,,,Malaysis,College,Education,Single,6-12 mo
5209,id74687,0,24.0,Male,,Heterosexual,Ontario,College,Computer,Single,4-6 yr
5210,id86346,1,54.0,Male,,Heterosexual,Georgia,Some College,Other,Married,6-12 mo
5211,id73080,1,60.0,Female,,Heterosexual,Pennsylvania,High School,Other,Married,Under 6 mo
5212,id73943,1,27.0,Male,$10-19,Heterosexual,Ohio,College,Education,Single,6-12 mo
5213,id75516,0,40.0,Male,$50-74,Heterosexual,Florida,College,Management,Married,1-3 yr
5214,id87921,0,39.0,Male,$75-99,Heterosexual,Texas,College,Professional,Married,1-3 yr
5215,id87927,1,26.0,Male,Under $10,Heterosexual,Utah,College,Education,Single,6-12 mo
5216,id77570,0,24.0,Female,$40-49,Heterosexual,Oklahoma,College,Education,Married,1-3 yr
5217,id86949,0,46.0,Male,$75-99,Heterosexual,Texas,Some College,Professional,Married,1-3 yr
5218,id87517,1,54.0,Male,$40-49,Heterosexual,Connecticut,High School,Other,Married,Under 6 mo
5219,id83084,0,24.0,Male,$30-39,Heterosexual,California,College,Computer,Single,Over 7 yr
5220,id87933,1,,Female,,Heterosexual,Washington,College,Management,Single,6-12 mo
5221,id80061,0,31.0,Male,$50-74,Heterosexual,Texas,Some College,Management,Separated,1-3 yr
5222,id82513,0,51.0,Male,$50-74,Heterosexual,New Jersey,College,Professional,Married,4-6 yr
5223,id84339,0,27.0,Male,$20-29,Gay male,North Carolina,College,Computer,Single,4-6 yr
5224,id87952,0,15.0,Male,,,Texas,Grammar,Education,Single,1-3 yr
5225,id74719,1,57.0,Female,$50-74,Heterosexual,Minnesota,Special,Computer,Married,Under 6 mo
5226,id79505,0,30.0,Male,$10-19,Heterosexual,California,Some College,Other,Single,1-3 yr
5227,id87585,0,24.0,Male,$20-29,Heterosexual,Washington D.C.,College,Education,Single,1-3 yr
5228,id79994,0,53.0,Male,$75-99,Heterosexual,Minnesota,Some College,Other,Married,1-3 yr
5229,id90166,0,57.0,Male,$75-99,Heterosexual,Alabama,College,Management,Married,1-3 yr
5230,id74656,0,35.0,Male,Over $100,Heterosexual,Minnesota,College,Computer,Married,Over 7 yr
5231,id76409,0,28.0,Female,$40-49,Transgender,California,Some College,Computer,Single,1-3 yr
5232,id86011,0,38.0,Male,$50-74,Heterosexual,Washington,College,Professional,Married,Over 7 yr
5233,id82234,0,20.0,Male,$50-74,Heterosexual,New Jersey,Some College,Education,Single,4-6 yr
5234,id86324,1,,Female,,,Finland,Other,Other,,Under 6 mo
5235,id86708,0,50.0,Male,$50-74,Heterosexual,Ohio,Masters,Education,Married,1-3 yr
5236,id81924,0,46.0,Male,$40-49,,Hawaii,Some College,Other,Married,1-3 yr
5237,id78678,0,25.0,Male,$50-74,Heterosexual,California,High School,Computer,Married,1-3 yr
5238,id82864,1,38.0,Male,,Heterosexual,Costa Rica,High School,Computer,Divorced,6-12 mo
5239,id85798,0,31.0,Female,$40-49,Heterosexual,Australia,College,Management,Single,1-3 yr
5240,id90068,0,41.0,Male,Over $100,Heterosexual,California,Professional,Professional,Married,4-6 yr
5241,id77426,0,39.0,Male,$75-99,Heterosexual,Florida,College,Management,Married,4-6 yr
5242,id84721,0,15.0,Male,,Heterosexual,Germany,Other,Education,Single,1-3 yr
5243,id87941,0,27.0,Male,,Heterosexual,California,College,Computer,Single,1-3 yr
5244,id84950,0,32.0,Female,$10-19,Heterosexual,Virginia,Masters,Other,Single,1-3 yr
5245,id87157,0,39.0,Male,,Heterosexual,California,College,Computer,Divorced,Over 7 yr
5246,id72190,1,23.0,Female,$30-39,Heterosexual,Pennsylvania,Some College,Other,Single,Under 6 mo
5247,id74551,0,48.0,Male,,Heterosexual,California,Masters,Education,Married,1-3 yr
5248,id75575,0,56.0,Male,,Gay male,Hawaii,College,Professional,Other,4-6 yr
5249,id62140,0,54.0,Male,Over $100,Heterosexual,New York,Doctoral,Education,Married,4-6 yr
5250,id83232,0,35.0,Male,$30-39,Heterosexual,South Korea,Masters,Management,Married,4-6 yr
5251,id84270,1,19.0,Female,$40-49,Heterosexual,United Kingdom,College,Education,Single,6-12 mo
5252,id77790,1,21.0,Female,,Heterosexual,California,Special,Computer,Single,6-12 mo
5253,id87725,0,33.0,Male,$30-39,Heterosexual,Nevada,Some College,Computer,Other,4-6 yr
5254,id79073,0,35.0,Male,$30-39,Heterosexual,Washington,Masters,Education,Married,1-3 yr
5255,id87967,0,22.0,Male,$50-74,Heterosexual,Connecticut,College,Education,Single,4-6 yr
5256,id72822,0,30.0,Male,Over $100,Heterosexual,California,College,Professional,Single,1-3 yr
5257,id1890,0,36.0,Female,$50-74,Heterosexual,Idaho,Some College,Computer,Married,1-3 yr
5258,id85879,0,34.0,Female,$20-29,Bisexual,New Zealand,College,Computer,Single,1-3 yr
5259,id86959,0,26.0,Female,$40-49,Heterosexual,Illinois,College,Professional,Other,1-3 yr
5260,id80027,0,21.0,Male,$75-99,Heterosexual,Ohio,Some College,Education,Single,4-6 yr
5261,id80028,0,41.0,Female,$30-39,Heterosexual,Florida,College,Education,Widowed,1-3 yr
5262,id80690,1,53.0,Female,$20-29,Heterosexual,Nebraska,Masters,Education,,Under 6 mo
5263,id84953,0,29.0,Male,$50-74,Heterosexual,Quebec,Professional,Professional,Other,1-3 yr
5264,id70773,0,27.0,Female,,Heterosexual,California,College,Other,Married,1-3 yr
5265,id71676,0,39.0,Female,$40-49,Heterosexual,Minnesota,Masters,Professional,Divorced,1-3 yr
5266,id87686,0,30.0,Male,Under $10,Heterosexual,California,Some College,Education,Married,1-3 yr
5267,id76762,0,38.0,Female,$50-74,Heterosexual,California,College,Professional,Married,Over 7 yr
5268,id86325,0,37.0,Male,$50-74,Heterosexual,California,Masters,Education,Married,1-3 yr
5269,id75474,0,,Male,,,Oregon,College,Other,,1-3 yr
5270,id81900,0,35.0,Male,$50-74,Heterosexual,Norway,College,Computer,Single,4-6 yr
5271,id73757,1,17.0,Male,$50-74,Heterosexual,Massachusetts,High School,Education,Single,6-12 mo
5272,id75062,0,16.0,Female,,Heterosexual,Washington,Grammar,Education,Single,1-3 yr
5273,id72195,0,48.0,Female,$75-99,Heterosexual,California,Special,Other,Single,1-3 yr
5274,id84273,0,35.0,Male,,Heterosexual,Florida,Some College,Professional,Married,1-3 yr
5275,id84022,0,16.0,Male,,Heterosexual,Massachusetts,High School,Education,Single,4-6 yr
5276,id82357,0,30.0,Female,$40-49,Heterosexual,New York,College,Computer,Divorced,1-3 yr
5277,id84955,0,42.0,Male,$75-99,Heterosexual,Wisconsin,Special,Management,Married,1-3 yr
5278,id86198,0,22.0,Male,$10-19,Gay male,Indiana,Some College,Education,Single,1-3 yr
5279,id82564,1,42.0,Female,$50-74,Heterosexual,Australia,College,Professional,Married,Under 6 mo
5280,id85114,0,24.0,Male,Under $10,Heterosexual,Iowa,College,Computer,Other,1-3 yr
5281,id71677,0,29.0,Female,$40-49,Heterosexual,New York,College,Professional,Single,1-3 yr
5282,id75037,1,21.0,Male,$20-29,Heterosexual,California,Some College,Education,Single,Under 6 mo
5283,id85115,0,45.0,Male,$50-74,Gay male,Hawaii,College,Computer,Single,1-3 yr
5284,id87983,0,,Male,,,Maryland,College,Computer,,Over 7 yr
5285,id76438,1,,Female,$40-49,Heterosexual,Michigan,Some College,Other,Married,Under 6 mo
5286,id89360,0,22.0,Female,$40-49,Heterosexual,Australia,College,Computer,Single,1-3 yr
5287,id73571,1,34.0,Female,$20-29,Heterosexual,Delaware,Some College,Professional,Single,6-12 mo
5288,id87984,0,31.0,Male,$50-74,Heterosexual,Massachusetts,Grammar,Computer,Married,1-3 yr
5289,id82439,0,49.0,Female,$20-29,Heterosexual,Minnesota,Some College,Management,Separated,1-3 yr
5290,id67340,0,37.0,Male,Over $100,Heterosexual,Canada & Mexico,College,Computer,Single,4-6 yr
5291,id3666,0,40.0,Male,,Heterosexual,New Jersey,Professional,Professional,Single,4-6 yr
5292,id81373,1,35.0,Male,$30-39,Heterosexual,Maryland,Some College,Education,Other,Under 6 mo
5293,id82565,0,,Male,,Heterosexual,Michigan,Grammar,Education,Single,1-3 yr
5294,id75450,1,20.0,Male,$30-39,Gay male,Australia,High School,Other,Single,Under 6 mo
5295,id83767,1,15.0,Female,$75-99,Heterosexual,Pennsylvania,High School,Education,Single,Under 6 mo
5296,id83832,0,39.0,Male,$40-49,,Minnesota,College,Computer,,1-3 yr
5297,id74307,0,21.0,Male,Under $10,Heterosexual,New York,College,Computer,Single,4-6 yr
5298,id78059,0,49.0,Male,$30-39,Heterosexual,North Carolina,Masters,Computer,Married,1-3 yr
5299,id81653,0,18.0,Female,,Heterosexual,Quebec,High School,Education,Single,1-3 yr
5300,id79766,0,53.0,Male,$20-29,,Australia,Some College,Computer,Single,1-3 yr
5301,id86690,0,50.0,Male,Over $100,Heterosexual,Georgia,Some College,Computer,Married,4-6 yr
5302,id88338,1,,Female,$50-74,Heterosexual,Pennsylvania,Special,Other,Married,Under 6 mo
5303,id71832,0,16.0,Male,$40-49,Heterosexual,Indiana,Grammar,Education,Single,4-6 yr
5304,id72912,1,47.0,Male,$50-74,Heterosexual,Arizona,Some College,Other,Married,Under 6 mo
5305,id87865,0,27.0,Male,$75-99,Gay male,California,College,Computer,Other,4-6 yr
5306,id80170,1,36.0,Male,$40-49,Heterosexual,Idaho,Masters,Professional,Other,6-12 mo
5307,id75432,0,37.0,Female,,Heterosexual,Florida,Some College,Other,Separated,1-3 yr
5308,id85987,1,39.0,Male,,Heterosexual,Arkansas,High School,Computer,Married,Under 6 mo
5309,id39687,0,37.0,Male,,Heterosexual,Virginia,Doctoral,Education,Married,Over 7 yr
5310,id80327,0,29.0,Male,,Transgender,United Kingdom,College,Education,,1-3 yr
5311,id82341,1,33.0,Male,$20-29,Heterosexual,Colorado,Professional,Professional,Single,Under 6 mo
5312,id88863,0,65.0,Male,Over $100,Heterosexual,Virginia,College,Other,Married,1-3 yr
5313,id74822,0,,Male,,Heterosexual,Wisconsin,College,Professional,Married,1-3 yr
5314,id81342,1,28.0,Male,$20-29,Heterosexual,Sweden,Some College,Other,Single,Under 6 mo
5315,id78740,0,25.0,Male,$40-49,Bisexual,Massachusetts,College,Computer,Single,Over 7 yr
5316,id49045,0,34.0,Male,$50-74,Heterosexual,Georgia,College,Management,Married,Over 7 yr
5317,id79721,0,28.0,Female,$30-39,Heterosexual,Massachusetts,College,Computer,Single,1-3 yr
5318,id84858,0,47.0,Male,$50-74,Heterosexual,New York,High School,Management,Widowed,Over 7 yr
5319,id73588,0,22.0,Male,,Heterosexual,Massachusetts,Some College,Education,Single,4-6 yr
5320,id73953,1,15.0,Male,$50-74,Heterosexual,Minnesota,High School,Education,Single,6-12 mo
5321,id77203,1,,Male,,Heterosexual,Ohio,College,Professional,Married,6-12 mo
5322,id80320,0,31.0,Male,$50-74,Heterosexual,Oregon,College,Computer,Married,4-6 yr
5323,id83587,1,40.0,Male,$40-49,Heterosexual,Other,Masters,Management,Widowed,Under 6 mo
5324,id87892,0,50.0,Male,$75-99,Heterosexual,Texas,High School,Other,Married,1-3 yr
5325,id78713,0,45.0,Male,Over $100,Heterosexual,New Hampshire,Some College,Computer,Married,Over 7 yr
5326,id80941,0,52.0,Male,$75-99,,Texas,Some College,Computer,Divorced,Over 7 yr
5327,id38552,0,49.0,Male,$30-39,Heterosexual,Florida,Some College,Other,Married,1-3 yr
5328,id73429,0,16.0,Male,$50-74,Heterosexual,British Columbia,Other,Education,Single,1-3 yr
5329,id82531,0,33.0,Male,$30-39,Heterosexual,United Kingdom,College,Management,Single,1-3 yr
5330,id90232,0,45.0,Female,Over $100,Heterosexual,West Virginia,Masters,Education,Married,1-3 yr
5331,id77414,0,27.0,Male,$20-29,Heterosexual,South Africa,Some College,Computer,Married,4-6 yr
5332,id87739,0,25.0,Female,Over $100,Bisexual,Washington,College,Education,Other,Over 7 yr
5333,id78283,0,28.0,Male,Over $100,Heterosexual,Minnesota,College,Computer,Single,1-3 yr
5334,id89521,1,41.0,Female,$40-49,Heterosexual,Australia,High School,Management,Single,6-12 mo
5335,id86331,0,61.0,Male,$40-49,,Florida,Masters,Professional,Married,1-3 yr
5336,id72479,1,54.0,Male,,Heterosexual,Florida,Some College,Professional,Married,Under 6 mo
5337,id75354,0,,Female,,,New Hampshire,Some College,Computer,,1-3 yr
5338,id79147,0,46.0,Female,$10-19,Heterosexual,Indiana,Some College,Other,Other,1-3 yr
5339,id89372,1,62.0,Male,$30-39,Heterosexual,Arizona,Some College,Other,Married,Under 6 mo
5340,id72451,0,23.0,Male,$30-39,Heterosexual,Virginia,College,Computer,Other,4-6 yr
5341,id81057,0,49.0,Male,Over $100,Heterosexual,California,Doctoral,Computer,Divorced,Over 7 yr
5342,id89645,1,46.0,Male,$50-74,Heterosexual,South Dakota,Some College,Professional,Married,Under 6 mo
5343,id75775,1,16.0,Male,$40-49,Heterosexual,Illinois,High School,Education,Single,6-12 mo
5344,id79153,0,16.0,Male,Over $100,Heterosexual,Australia,Grammar,Education,Single,1-3 yr
5345,id79156,0,63.0,Male,$40-49,Heterosexual,California,College,Other,Married,1-3 yr
5346,id79158,0,30.0,Male,$50-74,Heterosexual,Washington,College,Computer,Married,1-3 yr
5347,id86161,0,37.0,Male,$75-99,Heterosexual,New York,Special,Other,Married,1-3 yr
5348,id81085,0,34.0,Male,$50-74,Heterosexual,Michigan,College,Professional,Single,4-6 yr
5349,id86916,0,61.0,Female,,Heterosexual,Florida,College,Other,Married,1-3 yr
5350,id88873,0,27.0,Male,$50-74,Heterosexual,Kansas,College,Computer,Married,4-6 yr
5351,id80289,0,20.0,Male,$30-39,Heterosexual,North Carolina,Some College,Computer,Single,1-3 yr
5352,id77136,0,35.0,Female,Over $100,Heterosexual,Pennsylvania,College,Professional,Married,1-3 yr
5353,id88005,0,48.0,Male,$50-74,Heterosexual,New Zealand,Masters,Professional,Married,1-3 yr
5354,id86512,0,47.0,Male,Over $100,Heterosexual,Other,Masters,Management,Married,1-3 yr
5355,id88006,0,27.0,Male,$20-29,Heterosexual,Washington,College,Computer,Married,1-3 yr
5356,id88009,0,,Male,,Heterosexual,Texas,Some College,Other,Single,1-3 yr
5357,id88542,0,19.0,Male,$50-74,Heterosexual,Saskatchewan,High School,Education,Single,4-6 yr
5358,id78940,0,53.0,Male,$75-99,Heterosexual,Michigan,Some College,Professional,Married,1-3 yr
5359,id76036,1,48.0,Male,Over $100,Heterosexual,Florida,College,Professional,Married,6-12 mo
5360,id83345,1,,Female,,Heterosexual,California,College,Management,Married,Under 6 mo
5361,id76292,0,26.0,Male,$10-19,Heterosexual,Switzerland,Masters,Education,Single,4-6 yr
5362,id86974,1,41.0,Male,$50-74,Heterosexual,Indiana,College,Professional,Married,6-12 mo
5363,id88023,1,45.0,Female,$50-74,Heterosexual,Illinois,High School,Other,Married,6-12 mo
5364,id79781,0,46.0,Male,$75-99,Heterosexual,California,Some College,Professional,Married,4-6 yr
5365,id87280,0,55.0,Male,Over $100,Heterosexual,California,College,Computer,Married,1-3 yr
5366,id79161,0,22.0,Male,Under $10,Heterosexual,South Carolina,College,Education,Single,1-3 yr
5367,id72206,1,39.0,Male,$30-39,Heterosexual,Virginia,College,Professional,Married,6-12 mo
5368,id76468,0,56.0,Female,$50-74,Bisexual,Florida,College,Computer,Married,1-3 yr
5369,id83980,1,45.0,Male,$75-99,Heterosexual,Illinois,Masters,Professional,Married,6-12 mo
5370,id79164,0,53.0,Male,$50-74,Heterosexual,California,Doctoral,Computer,Married,Over 7 yr
5371,id79098,1,48.0,Female,,,Oregon,Masters,Other,Married,6-12 mo
5372,id86083,0,38.0,Male,$75-99,Heterosexual,New Jersey,Some College,Computer,Married,1-3 yr
5373,id88514,0,29.0,Male,$40-49,Heterosexual,Minnesota,Masters,Professional,Married,1-3 yr
5374,id85369,1,42.0,Female,$40-49,Heterosexual,Washington,Some College,Education,Separated,Under 6 mo
5375,id83976,0,34.0,Female,$30-39,Heterosexual,Indiana,High School,Other,Married,1-3 yr
5376,id87459,0,26.0,Male,$50-74,Heterosexual,Ohio,College,Education,Married,Over 7 yr
5377,id75726,0,40.0,Female,$50-74,Heterosexual,New York,High School,Computer,Divorced,Over 7 yr
5378,id87081,1,34.0,Male,$75-99,Heterosexual,Texas,Professional,Professional,Married,Under 6 mo
5379,id87082,1,54.0,Male,$30-39,Heterosexual,Virginia,High School,Computer,Married,Under 6 mo
5380,id87084,1,46.0,Female,$40-49,Heterosexual,Wisconsin,Some College,Computer,Married,Under 6 mo
5381,id76998,0,21.0,Male,Under $10,Heterosexual,South Korea,Some College,Education,Single,1-3 yr
5382,id76613,1,28.0,Male,$30-39,Heterosexual,New Zealand,Some College,Professional,Single,Under 6 mo
5383,id83830,0,26.0,Male,Over $100,,Virginia,Masters,Management,Single,Over 7 yr
5384,id84027,0,40.0,Female,$50-74,Heterosexual,North Carolina,College,Computer,Married,1-3 yr
5385,id85035,0,42.0,Female,$40-49,Heterosexual,New York,College,Computer,Single,1-3 yr
5386,id76774,0,66.0,Male,$40-49,Heterosexual,Alaska,Other,Education,Married,1-3 yr
5387,id86723,0,40.0,Male,$50-74,Heterosexual,California,High School,Computer,Married,1-3 yr
5388,id89836,0,41.0,Male,$75-99,Heterosexual,New Hampshire,Masters,Computer,Married,Over 7 yr
5389,id82316,0,53.0,Male,Over $100,Heterosexual,Nevada,College,Computer,Married,Over 7 yr
5390,id87050,1,24.0,Male,,Heterosexual,North Carolina,Some College,Management,Married,6-12 mo
5391,id88041,0,21.0,Male,$75-99,Heterosexual,Washington D.C.,College,Computer,Single,4-6 yr
5392,id71839,1,33.0,Female,$20-29,Heterosexual,California,Masters,Professional,Single,6-12 mo
5393,id6011,0,28.0,Male,,Heterosexual,California,Special,Computer,Single,1-3 yr
5394,id88049,0,28.0,Male,Over $100,Heterosexual,California,Some College,Computer,Other,4-6 yr
5395,id78172,0,21.0,Male,Under $10,Heterosexual,Maine,High School,Education,Other,1-3 yr
5396,id80025,0,,Male,,Heterosexual,Idaho,High School,Computer,Single,1-3 yr
5397,id82418,0,31.0,Male,$75-99,Heterosexual,Texas,Some College,Computer,Married,4-6 yr
5398,id88050,1,23.0,Male,Under $10,Transgender,Taiwan,College,Education,Single,6-12 mo
5399,id73887,1,,Female,,Heterosexual,California,Some College,Management,Married,6-12 mo
5400,id88060,0,18.0,Male,$20-29,Heterosexual,Minnesota,High School,Education,Single,1-3 yr
5401,id88026,1,12.0,Male,,Heterosexual,Florida,Grammar,Education,Single,6-12 mo
5402,id79888,0,25.0,Male,$30-39,Heterosexual,Utah,College,Computer,Married,4-6 yr
5403,id87534,0,32.0,Male,$75-99,Heterosexual,Wisconsin,Masters,Computer,Married,Over 7 yr
5404,id72525,0,23.0,Female,$30-39,Transgender,Wyoming,Some College,Education,Other,1-3 yr
5405,id73590,0,42.0,Male,$75-99,Heterosexual,West Virginia,Some College,Professional,Married,Over 7 yr
5406,id78771,0,42.0,Female,$30-39,Heterosexual,Michigan,Special,Other,Divorced,1-3 yr
5407,id87592,0,46.0,Female,$10-19,Heterosexual,Virginia,College,Management,Divorced,1-3 yr
5408,id88065,0,38.0,Male,$20-29,Heterosexual,Sweden,High School,Other,Single,1-3 yr
5409,id35682,0,24.0,Male,$30-39,Heterosexual,Oklahoma,Some College,Other,Single,1-3 yr
5410,id73521,0,21.0,Male,$50-74,Heterosexual,Minnesota,Some College,Education,Single,1-3 yr
5411,id88094,0,19.0,Male,Under $10,Heterosexual,California,Some College,Education,Single,1-3 yr
5412,id88101,0,26.0,Male,Over $100,Heterosexual,New York,College,Computer,Married,Over 7 yr
5413,id89557,0,48.0,Female,$50-74,Heterosexual,Missouri,College,Professional,Divorced,1-3 yr
5414,id88067,0,60.0,Male,,Heterosexual,Maryland,Masters,Other,Married,1-3 yr
5415,id74444,0,60.0,Female,$50-74,Heterosexual,California,College,Other,Married,4-6 yr
5416,id68005,0,40.0,Female,$50-74,Lesbian,New York,Some College,Other,Married,1-3 yr
5417,id80480,1,40.0,Male,,Heterosexual,Rhode Island,College,Professional,Married,6-12 mo
5418,id87748,0,44.0,Male,$10-19,Gay male,Iowa,Doctoral,Professional,Other,4-6 yr
5419,id72217,0,34.0,Male,$50-74,Heterosexual,Pennsylvania,Some College,Professional,Separated,1-3 yr
5420,id87239,1,65.0,Male,$40-49,Heterosexual,Nevada,High School,Other,Married,6-12 mo
5421,id77403,1,43.0,Female,,,Nebraska,College,Professional,Married,Under 6 mo
5422,id82389,0,37.0,Male,$75-99,Heterosexual,Tennessee,College,Professional,Married,4-6 yr
5423,id88105,1,29.0,Male,,Heterosexual,Nebraska,College,Education,Divorced,6-12 mo
5424,id85718,0,,Female,,Heterosexual,Georgia,Some College,Computer,Divorced,1-3 yr
5425,id79438,0,42.0,Male,$40-49,Heterosexual,Texas,College,Computer,Married,Over 7 yr
5426,id67108,0,27.0,Male,$10-19,Heterosexual,Kentucky,Some College,Professional,Married,4-6 yr
5427,id89205,0,21.0,Male,$10-19,Heterosexual,Pennsylvania,Some College,Computer,Single,4-6 yr
5428,id84072,0,38.0,Female,$20-29,Bisexual,Washington,Some College,Professional,Divorced,1-3 yr
5429,id84075,1,26.0,Male,Under $10,Heterosexual,Illinois,Some College,Education,Other,6-12 mo
5430,id82021,1,15.0,Female,,Heterosexual,Iowa,Other,Education,Single,6-12 mo
5431,id67430,0,30.0,Female,$40-49,Heterosexual,Pennsylvania,College,Professional,Married,1-3 yr
5432,id72404,0,39.0,Female,$20-29,Heterosexual,Michigan,Some College,Management,Single,1-3 yr
5433,id85595,0,34.0,Female,$40-49,Heterosexual,Texas,Some College,Management,Married,1-3 yr
5434,id88080,0,23.0,Female,$30-39,Heterosexual,New Mexico,Some College,Education,Single,1-3 yr
5435,id75303,0,43.0,Male,$40-49,Heterosexual,Oklahoma,Masters,Education,Divorced,1-3 yr
5436,id84755,0,17.0,Male,,Heterosexual,New York,High School,Education,Single,1-3 yr
5437,id86707,0,28.0,Male,$40-49,Heterosexual,California,Some College,Professional,Single,1-3 yr
5438,id72480,1,57.0,Male,Under $10,Heterosexual,Oregon,College,Other,Single,6-12 mo
5439,id81670,0,29.0,Female,Under $10,Heterosexual,Germany,Doctoral,Professional,Single,1-3 yr
5440,id82542,0,47.0,Male,Over $100,Heterosexual,Texas,Masters,Education,Married,4-6 yr
5441,id76575,0,33.0,Male,$30-39,Heterosexual,New Hampshire,Special,Computer,Single,4-6 yr
5442,id88146,0,28.0,Female,$30-39,Heterosexual,New Jersey,Masters,Professional,Single,1-3 yr
5443,id73990,1,64.0,Male,$50-74,Heterosexual,Florida,College,Other,Married,6-12 mo
